Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
258,SC20,RL,68.0,8814,Pave,1,Reg,Lvl,AllPub,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,180.0,2,4,PConc,2,4,3,2,1334,6,0,270,1604,GasA,0,Y,SBrkr,1604,0,0,1604,1,0,2,1,3,1,2,8,Typ,1,2,Attchd,2006.0,2,2,660,5,5,2,123,110,0,0,0,0,3,4,None,0,Mar,2009,WD,Abnorml,220000
259,SC60,RL,80.0,12435,Pave,1,Reg,Lvl,AllPub,Inside,0,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,172.0,2,4,PConc,2,4,3,2,361,6,0,602,963,GasA,0,Y,SBrkr,963,829,0,1792,0,0,2,1,3,1,2,7,Typ,1,5,Attchd,2001.0,2,2,564,5,5,2,0,96,0,245,0,0,3,4,None,0,May,2008,WD,Normal,231500
260,SC20,RM,70.0,12702,Pave,1,Reg,Lvl,AllPub,Inside,0,OldTown,Norm,Norm,1Fam,1Story,5,5,1956,1956,Gable,CompShg,BrkFace,BrkFace,None,0.0,3,4,PConc,3,2,4,4,0,4,0,0,0,GasA,2,Y,FuseA,882,0,0,882,0,0,1,0,2,1,3,4,Typ,0,3,Detchd,1956.0,3,1,308,5,5,2,0,45,0,0,0,0,3,4,None,0,Dec,2008,WD,Normal,97000
261,SC80,RL,120.0,19296,Pave,1,Reg,Lvl,AllPub,Corner,0,NAmes,Artery,Norm,1Fam,SLvl,6,5,1962,1962,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,399.0,3,4,CBlock,4,4,1,5,672,0,690,0,1362,GasA,4,Y,SBrkr,1382,0,0,1382,1,0,1,0,3,1,3,6,Typ,1,5,Attchd,1991.0,3,2,884,5,5,2,0,0,252,0,0,0,3,1,None,0,May,2009,WD,Normal,176000
262,SC60,RL,69.0,9588,Pave,1,IR1,Lvl,AllPub,Inside,0,CollgCr,Norm,Norm,1Fam,2Story,8,5,2007,2007,Gable,CompShg,CemntBd,CmentBd,Stone,270.0,2,4,PConc,0,4,3,6,0,6,0,1482,1482,GasA,0,Y,SBrkr,1482,1092,0,2574,0,0,2,1,3,1,0,10,Typ,1,2,BuiltIn,2007.0,0,3,868,5,5,2,0,148,0,0,0,0,3,4,None,0,Nov,2007,New,Partial,276000
263,SC80,RL,88.0,8471,Pave,1,IR1,Lvl,AllPub,Corner,0,Sawyer,Norm,Norm,1Fam,SLvl,6,7,1977,1995,Gable,CompShg,HdBoard,Plywood,BrkFace,46.0,3,4,CBlock,2,1,0,0,506,6,0,0,506,GasA,4,Y,SBrkr,1212,0,0,1212,1,0,1,0,3,1,3,6,Typ,1,5,Attchd,1978.0,3,2,492,5,5,2,292,12,0,0,0,0,3,1,None,0,Jul,2006,WD,Normal,151000
264,SC50,RM,50.0,5500,Pave,1,Reg,Lvl,AllPub,Corner,0,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,BrkTil,4,4,3,3,234,0,692,0,926,GasA,4,Y,SBrkr,926,0,390,1316,1,0,1,0,3,1,3,6,Typ,0,3,Detchd,1974.0,3,2,484,5,5,2,0,0,0,0,0,0,3,4,None,0,Apr,2010,WD,Normal,130000
265,SC30,RM,30.0,5232,Pave,0,IR3,Bnk,AllPub,Inside,0,OldTown,Artery,Norm,1Fam,1Story,5,5,1925,2004,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,BrkTil,1,4,3,6,0,6,0,680,680,GasA,2,N,FuseP,764,0,0,764,0,0,1,0,2,1,3,4,Typ,0,3,Detchd,1965.0,3,2,504,5,5,0,0,0,0,0,0,0,3,4,None,0,Jun,2008,WD,Normal,73000
266,SC20,RL,78.0,12090,Pave,1,IR1,Lvl,AllPub,Inside,0,NWAmes,Norm,Norm,1Fam,1Story,6,6,1981,1981,Gable,CompShg,MetalSd,MetalSd,BrkFace,210.0,3,2,CBlock,2,4,3,2,588,3,228,606,1422,GasA,4,Y,SBrkr,1422,0,0,1422,0,0,2,0,3,1,2,7,Typ,1,5,Attchd,1981.0,0,2,576,5,5,2,276,0,0,0,0,0,3,0,None,0,Jun,2008,WD,Normal,175500
267,SC60,RL,70.0,11207,Pave,1,IR1,HLS,AllPub,FR2,0,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,PConc,2,4,0,2,714,6,0,88,802,GasA,2,Y,SBrkr,802,709,0,1511,1,0,2,1,3,1,3,8,Typ,1,5,Attchd,1997.0,0,2,413,5,5,2,95,75,0,0,0,0,3,4,None,0,Jun,2006,WD,Normal,185000
268,SC75,RL,60.0,8400,Pave,1,Reg,Bnk,AllPub,Inside,1,SWISU,Norm,Norm,1Fam,2.5Fin,5,8,1939,1997,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,PConc,4,4,3,3,378,6,0,342,720,GasA,0,Y,SBrkr,1052,720,420,2192,0,0,2,1,4,1,2,8,Typ,1,2,Detchd,1939.0,3,1,240,5,5,2,262,24,0,0,0,0,3,4,None,0,Jul,2008,WD,Normal,179500
269,SC30,RM,71.0,6900,Pave,1,Reg,Lvl,AllPub,Inside,0,IDOTRR,Norm,Norm,1Fam,1Story,5,6,1940,1955,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,4,4,3,0,403,5,125,212,740,GasA,0,Y,SBrkr,778,0,0,778,0,0,1,0,2,1,3,4,Typ,1,2,Detchd,1966.0,0,1,924,0,0,2,0,25,0,0,0,0,3,4,None,0,Feb,2008,WD,Normal,120500
270,SC20,RL,65.5,7917,Pave,1,IR1,Lvl,AllPub,Corner,0,Edwards,Norm,Norm,1Fam,1Story,6,7,1976,1976,Hip,CompShg,HdBoard,HdBoard,BrkFace,174.0,3,2,CBlock,4,1,3,1,751,6,0,392,1143,GasA,4,Y,SBrkr,1113,0,0,1113,1,0,1,1,3,1,3,6,Typ,1,1,Attchd,1987.0,2,1,504,5,2,2,370,30,0,0,0,0,3,0,None,0,May,2007,WD,Normal,148000
271,SC60,FV,84.0,10728,Pave,1,Reg,Lvl,AllPub,Inside,0,Somerst,Norm,Norm,1Fam,2Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,4,PConc,2,4,2,6,0,6,0,1095,1095,GasA,2,Y,SBrkr,1095,844,0,1939,0,0,2,1,3,1,2,8,Typ,1,2,Attchd,2006.0,2,3,1053,5,5,2,192,51,0,0,0,0,3,4,None,0,Aug,2006,New,Partial,266000
272,SC20,RL,73.0,39104,Pave,1,IR1,Low,AllPub,CulDSac,2,ClearCr,Norm,Norm,1Fam,1Story,7,7,1954,2005,Flat,Membran,Plywood,Plywood,None,0.0,3,4,CBlock,2,4,1,3,226,2,1063,96,1385,GasA,0,Y,SBrkr,1363,0,0,1363,1,0,1,0,2,1,3,5,Mod,2,5,Attchd,1954.0,3,2,439,5,5,2,81,0,0,0,0,0,3,4,None,0,Apr,2008,WD,Normal,241500
273,SC60,RL,92.0,11764,Pave,1,IR1,Lvl,AllPub,CulDSac,0,NoRidge,Norm,Norm,1Fam,2Story,8,7,1999,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,348.0,2,4,PConc,2,4,3,2,524,6,0,628,1152,GasA,0,Y,SBrkr,1164,1106,0,2270,0,0,2,1,4,1,2,9,Typ,1,2,Attchd,1999.0,0,3,671,5,5,2,132,57,0,0,0,0,3,4,None,0,Apr,2010,WD,Normal,290000
274,SC20,RL,80.0,9600,Pave,1,Reg,Lvl,AllPub,Inside,0,NAmes,Feedr,Norm,1Fam,1Story,6,6,1958,1988,Hip,CompShg,Wd Sdng,Wd Sdng,BrkCmn,183.0,3,4,CBlock,4,4,3,5,620,3,620,0,1240,GasA,2,Y,SBrkr,1632,0,0,1632,1,0,2,0,3,1,3,6,Min1,1,2,Attchd,1958.0,2,1,338,5,5,2,289,0,0,0,0,0,3,2,None,0,Apr,2009,WD,Normal,139000
275,SC20,RL,76.0,8314,Pave,1,Reg,Lvl,AllPub,Corner,0,Mitchel,Norm,Norm,1Fam,1Story,5,7,1982,1982,Gable,CompShg,HdBoard,ImStucc,None,0.0,3,4,CBlock,4,4,1,0,546,6,0,270,816,GasA,4,Y,SBrkr,816,0,0,816,0,0,1,0,2,1,3,5,Typ,0,3,Attchd,1982.0,3,1,264,5,5,2,168,0,0,0,0,0,3,4,None,0,Jun,2007,WD,Normal,124500
276,SC50,RL,55.0,7264,Pave,1,Reg,Lvl,AllPub,Inside,0,BrkSide,Norm,Norm,1Fam,1.5Fin,7,7,1925,2007,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,BrkTil,4,4,3,6,0,6,0,952,952,GasW,2,N,SBrkr,952,596,0,1548,0,0,2,1,3,1,0,5,Typ,0,3,Detchd,1978.0,3,2,672,5,5,2,74,0,0,0,144,0,3,4,None,0,Oct,2009,WD,Normal,205000
277,SC20,RL,129.0,9196,Pave,1,IR1,Lvl,AllPub,Inside,0,Mitchel,Norm,Norm,1Fam,1Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,4,PConc,0,4,3,6,0,6,0,1560,1560,GasA,0,Y,SBrkr,1560,0,0,1560,0,0,2,0,3,1,2,7,Typ,0,3,Attchd,2003.0,0,2,573,5,5,2,100,150,0,0,0,0,3,4,None,0,Apr,2010,WD,Normal,201000
278,SC20,RL,140.0,19138,Pave,1,Reg,Lvl,AllPub,Corner,0,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,4,4,3,3,120,6,0,744,864,GasA,0,Y,SBrkr,864,0,0,864,0,0,1,0,2,1,3,4,Typ,0,3,Detchd,1951.0,3,2,400,5,5,2,0,0,0,0,0,0,3,4,None,0,Jun,2010,WD,Normal,141000
279,SC20,RL,107.0,14450,Pave,1,Reg,Lvl,AllPub,Inside,0,NridgHt,Norm,Norm,1Fam,1Story,9,5,2006,2007,Gable,CompShg,CemntBd,CmentBd,BrkFace,315.0,0,4,PConc,0,4,1,6,0,6,0,2121,2121,GasA,0,Y,SBrkr,2121,0,0,2121,0,0,2,1,3,1,0,8,Typ,1,0,Attchd,2007.0,0,3,732,5,5,2,124,98,0,0,142,0,3,4,None,0,May,2007,New,Partial,415298
280,SC60,RL,83.0,10005,Pave,1,Reg,Lvl,AllPub,Inside,0,ClearCr,Norm,Norm,1Fam,2Story,7,5,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,299.0,3,4,CBlock,2,4,3,1,392,6,0,768,1160,GasA,0,Y,SBrkr,1156,866,0,2022,0,0,2,1,4,1,3,8,Typ,1,5,Attchd,1977.0,0,2,505,5,5,2,288,117,0,0,0,0,3,4,None,0,Mar,2008,WD,Normal,192000
281,SC60,RL,82.0,11287,Pave,1,Reg,Lvl,AllPub,Inside,0,SawyerW,Norm,Norm,1Fam,2Story,7,6,1989,1989,Gable,CompShg,Plywood,Plywood,BrkFace,340.0,2,4,CBlock,2,4,0,2,421,6,0,386,807,GasA,2,Y,SBrkr,1175,807,0,1982,0,0,2,1,3,1,2,7,Typ,1,5,Attchd,1989.0,0,2,575,5,5,2,0,84,0,196,0,0,3,4,None,0,Jan,2007,WD,Normal,228500
282,SC20,FV,60.0,7200,Pave,2,Reg,Lvl,AllPub,Inside,0,Somerst,Norm,Norm,1Fam,1Story,6,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,68.0,2,4,PConc,2,4,3,2,905,6,0,357,1262,GasA,2,Y,SBrkr,1262,0,0,1262,0,0,2,0,2,1,2,5,Typ,0,3,Attchd,2006.0,0,2,572,5,5,2,0,120,0,0,0,0,3,4,None,0,May,2006,New,Partial,185000
283,SC120,RL,34.0,5063,Pave,1,Reg,Lvl,AllPub,Inside,0,NridgHt,Norm,Norm,Twnhs,1Story,7,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,166.0,2,4,PConc,2,4,3,2,904,6,0,410,1314,GasA,0,Y,SBrkr,1314,0,0,1314,1,0,2,0,2,1,2,6,Typ,1,2,Attchd,2008.0,2,2,626,5,5,2,172,62,0,0,0,0,3,4,None,0,Apr,2009,ConLw,Normal,207500
284,SC20,RL,74.0,9612,Pave,1,Reg,Lvl,AllPub,Inside,0,Somerst,Feedr,Norm,1Fam,1Story,8,5,2008,2009,Gable,CompShg,VinylSd,VinylSd,Stone,72.0,2,4,PConc,2,4,3,6,0,6,0,1468,1468,GasA,0,Y,SBrkr,1468,0,0,1468,0,0,2,0,3,1,2,6,Typ,1,2,Attchd,2008.0,0,3,898,5,5,2,210,150,0,0,0,0,3,4,None,0,Dec,2009,New,Partial,244600
285,SC120,RL,50.0,8012,Pave,1,Reg,Lvl,AllPub,Inside,0,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1992,1992,Gable,CompShg,Plywood,ImStucc,None,0.0,2,4,PConc,2,4,3,2,430,6,0,1145,1575,GasA,2,Y,SBrkr,1575,0,0,1575,1,0,2,0,2,1,2,5,Typ,0,3,Attchd,1992.0,2,2,529,5,5,2,0,0,52,0,0,0,3,4,None,0,Jul,2007,WD,Normal,179200
286,SC160,FV,35.0,4251,Pave,2,IR1,Lvl,AllPub,Inside,0,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2006,2007,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,4,PConc,2,4,3,6,0,6,0,625,625,GasA,0,Y,SBrkr,625,625,0,1250,0,0,2,1,2,1,2,5,Typ,0,3,Detchd,2006.0,2,2,528,5,5,2,0,54,0,0,0,0,3,4,None,0,Jun,2007,New,Partial,164700
287,SC50,RL,77.0,9786,Pave,1,IR1,Bnk,AllPub,Inside,0,NAmes,Norm,Norm,1Fam,1.5Fin,6,7,1962,1981,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,CBlock,4,4,3,5,600,6,0,312,912,GasA,4,Y,SBrkr,1085,649,0,1734,0,0,1,1,3,1,2,7,Typ,1,2,Attchd,1962.0,2,2,440,5,5,2,0,0,0,0,128,0,3,0,None,0,Jun,2006,WD,Normal,159000
288,SC20,RL,73.0,8125,Pave,1,IR1,Lvl,AllPub,Corner,0,NAmes,Norm,Norm,1Fam,1Story,4,4,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,4,4,3,1,614,6,0,244,858,GasA,4,Y,SBrkr,858,0,0,858,0,0,1,0,3,1,3,5,Typ,0,3,None,1971.0,1,0,0,3,3,2,0,0,0,0,0,0,3,4,None,0,Jun,2006,WD,Normal,88000
289,SC20,RL,71.0,9819,Pave,1,IR1,Lvl,AllPub,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,5,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,BrkFace,31.0,3,2,CBlock,4,4,3,1,450,6,0,432,882,GasA,4,Y,SBrkr,900,0,0,900,0,0,1,0,3,1,3,5,Typ,0,3,Detchd,1970.0,3,1,280,5,5,2,0,0,0,0,0,0,3,2,None,0,Feb,2010,WD,Normal,122000
290,SC70,RL,60.0,8730,Pave,1,Reg,Lvl,AllPub,Inside,0,BrkSide,RRAn,Norm,1Fam,2Story,6,7,1915,2003,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,BrkTil,4,4,3,6,0,6,0,698,698,GasA,0,Y,FuseA,698,698,0,1396,0,0,1,0,3,1,3,7,Typ,0,3,Detchd,2003.0,3,1,384,5,5,2,0,0,0,0,259,0,3,4,None,0,Jul,2007,WD,Normal,153575
291,SC60,RL,120.0,15611,Pave,1,Reg,Lvl,AllPub,Inside,0,CollgCr,Norm,Norm,1Fam,2Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,4,PConc,2,4,0,6,0,6,0,1079,1079,GasA,0,Y,SBrkr,1079,840,0,1919,0,0,2,1,3,1,2,8,Typ,1,2,Attchd,2006.0,2,2,685,2,5,2,0,51,0,0,0,0,3,4,None,0,Jul,2006,New,Partial,233230
292,SC190,RL,55.0,5687,Pave,0,Reg,Bnk,AllPub,Inside,0,SWISU,Norm,Norm,2fmCon,2Story,5,6,1912,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,1,PConc,4,0,3,5,210,6,0,570,780,GasA,0,N,SBrkr,936,780,0,1716,1,0,2,0,6,1,1,9,Typ,0,3,None,1912.0,1,0,0,3,3,0,0,184,0,0,0,0,3,4,None,0,Mar,2008,WD,Normal,135900
293,SC50,RL,60.0,11409,Pave,1,Reg,Lvl,AllPub,Inside,0,Edwards,Norm,Norm,1Fam,1.5Fin,5,4,1949,2008,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,CBlock,4,4,3,3,292,6,0,476,768,GasA,2,Y,SBrkr,1148,568,0,1716,0,0,1,1,3,1,3,8,Min2,1,2,Attchd,1949.0,3,1,281,5,5,2,0,0,0,0,160,0,3,4,None,0,Jan,2009,WD,Normal,131000
294,SC60,RL,80.0,16659,Pave,1,IR1,Lvl,AllPub,Corner,0,NWAmes,PosA,Norm,1Fam,2Story,7,7,1977,1994,Gable,CompShg,Plywood,Plywood,BrkFace,34.0,3,4,CBlock,4,4,3,0,795,6,0,0,795,GasA,1,Y,SBrkr,1468,795,0,2263,1,0,2,1,3,1,2,9,Typ,1,5,Attchd,1977.0,0,2,539,5,5,2,0,250,0,0,0,0,3,4,None,0,Mar,2006,WD,Normal,235000
295,SC20,RL,80.0,9600,Pave,1,Reg,Lvl,AllPub,Inside,0,NAmes,Norm,Norm,1Fam,1Story,6,5,1953,1953,Hip,CompShg,HdBoard,HdBoard,Stone,238.0,3,4,CBlock,4,4,3,2,1285,6,0,131,1416,GasA,4,Y,SBrkr,1644,0,0,1644,1,0,1,0,3,1,3,7,Typ,2,2,Attchd,1953.0,0,2,418,5,5,2,110,0,0,0,0,0,3,4,None,0,Oct,2009,WD,Normal,167000
296,SC80,RL,37.0,7937,Pave,1,IR1,Lvl,AllPub,CulDSac,0,Mitchel,Norm,Norm,1Fam,SLvl,6,6,1984,1984,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,4,4,0,2,819,6,0,184,1003,GasA,4,Y,SBrkr,1003,0,0,1003,1,0,1,0,3,1,3,6,Typ,0,3,Detchd,1984.0,3,2,588,5,5,2,120,0,0,0,0,0,3,0,None,0,Mar,2006,WD,Normal,142500
297,SC50,RM,75.0,13710,Pave,1,Reg,Lvl,AllPub,Inside,0,IDOTRR,Norm,Norm,1Fam,1.5Fin,5,5,1950,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,CBlock,4,4,3,1,420,6,0,490,910,GasA,4,Y,FuseA,910,648,0,1558,0,0,1,1,4,1,3,6,Typ,0,3,Attchd,1950.0,3,1,282,5,5,2,289,0,0,0,0,0,3,2,None,0,Jun,2007,WD,Normal,152000
298,SC60,FV,66.0,7399,Pave,2,IR1,Lvl,AllPub,Inside,0,Somerst,Norm,Norm,1Fam,2Story,7,5,1997,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,1600.0,2,4,PConc,2,4,3,1,649,6,0,326,975,GasA,0,Y,SBrkr,975,975,0,1950,0,0,2,1,3,1,2,7,Typ,1,5,Detchd,1997.0,2,2,576,5,5,2,0,10,0,0,198,0,3,4,None,0,Jun,2007,WD,Normal,239000
299,SC60,RL,90.0,11700,Pave,1,Reg,Lvl,AllPub,Inside,0,NWAmes,Norm,Norm,1Fam,2Story,6,6,1968,1968,Mansard,CompShg,HdBoard,AsphShn,BrkFace,365.0,2,4,CBlock,4,4,3,0,384,5,175,143,702,GasA,2,Y,SBrkr,1041,702,0,1743,0,1,1,2,3,1,3,7,Typ,1,2,Attchd,1968.0,3,2,539,5,5,2,224,0,0,0,0,0,3,4,None,0,Jun,2007,WD,Normal,175000
300,SC20,RL,80.0,14000,Pave,1,Reg,Lvl,AllPub,Inside,0,Crawfor,Norm,Norm,1Fam,1Story,6,8,1950,2004,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,2,CBlock,4,4,3,6,0,6,0,1092,1092,GasA,0,Y,SBrkr,1152,0,0,1152,0,1,1,0,3,1,2,6,Typ,1,2,Attchd,1950.0,3,1,300,5,5,2,0,36,0,0,0,0,3,0,None,0,Aug,2009,WD,Family,158500
301,SC190,RL,90.0,15750,Pave,1,Reg,Lvl,AllPub,Corner,0,Crawfor,Norm,Norm,2fmCon,1Story,5,5,1953,1953,Hip,CompShg,MetalSd,MetalSd,BrkFace,56.0,3,4,CBlock,4,4,2,1,841,6,0,324,1165,GasA,4,Y,SBrkr,1336,0,0,1336,1,0,1,0,2,1,3,5,Typ,2,2,Attchd,1953.0,3,1,375,5,5,2,0,0,0,0,0,0,3,4,None,0,Jun,2006,WD,Normal,157000
302,SC60,RL,66.0,16226,Pave,1,IR3,Lvl,AllPub,Inside,0,CollgCr,Norm,Norm,1Fam,2Story,8,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,4,PConc,2,4,3,2,281,6,0,747,1028,GasA,0,Y,SBrkr,1210,1242,0,2452,0,0,2,1,4,1,2,9,Typ,1,5,BuiltIn,1998.0,0,2,683,5,5,2,208,50,0,0,0,0,3,4,None,0,May,2007,WD,Normal,267000
303,SC20,RL,118.0,13704,Pave,1,IR1,Lvl,AllPub,Corner,0,CollgCr,Norm,Norm,1Fam,1Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,150.0,2,4,PConc,2,4,3,6,0,6,0,1541,1541,GasA,0,Y,SBrkr,1541,0,0,1541,0,0,2,0,3,1,2,6,Typ,1,5,Attchd,2001.0,2,3,843,5,5,2,468,81,0,0,0,0,3,4,None,0,Jan,2006,WD,Normal,205000
304,SC20,RL,70.0,9800,Pave,1,Reg,Lvl,AllPub,Corner,0,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,PConc,4,4,3,0,894,6,0,0,894,GasA,4,Y,SBrkr,894,0,0,894,1,0,1,0,3,1,3,5,Typ,0,3,Attchd,1975.0,3,2,552,5,5,2,256,0,0,0,0,0,3,1,None,0,Jul,2006,WD,Abnorml,149900
305,SC75,RM,87.0,18386,Pave,1,Reg,Lvl,AllPub,Inside,0,OldTown,Norm,Norm,1Fam,2.5Fin,7,9,1880,2002,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,4,BrkTil,4,4,3,6,0,6,0,1470,1470,GasA,0,Y,SBrkr,1675,1818,0,3493,0,0,3,0,3,1,2,10,Typ,1,0,Attchd,2003.0,3,3,870,5,5,2,302,0,0,0,0,0,3,4,None,0,May,2008,WD,Normal,295000
306,SC20,RL,80.0,10386,Pave,1,Reg,Lvl,AllPub,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,CemntBd,CmentBd,Stone,246.0,2,4,PConc,2,4,3,2,1464,6,0,536,2000,GasA,0,Y,SBrkr,2000,0,0,2000,1,0,2,0,3,1,2,8,Typ,0,3,Attchd,2004.0,0,3,888,5,5,2,168,0,0,0,0,0,3,4,None,0,Jul,2007,WD,Normal,305900
307,SC60,RL,116.0,13474,Pave,1,Reg,Lvl,AllPub,Inside,0,SawyerW,Feedr,Norm,1Fam,2Story,7,5,1990,1991,Gable,CompShg,HdBoard,Plywood,BrkFace,246.0,2,4,CBlock,2,4,3,0,700,6,0,0,700,GasA,2,Y,SBrkr,1122,1121,0,2243,1,0,2,1,4,1,2,8,Typ,1,5,Attchd,1990.0,2,3,746,5,5,2,127,44,224,0,0,0,3,4,None,0,Jun,2007,WD,Normal,225000
308,SC50,RM,60.0,7920,Pave,0,IR1,Lvl,AllPub,Inside,0,IDOTRR,Artery,Norm,1Fam,1.5Fin,6,7,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,1,CBlock,4,4,3,6,0,6,0,319,319,GasA,4,Y,FuseA,1035,371,0,1406,0,0,1,0,3,1,1,6,Typ,0,3,None,1920.0,1,0,0,3,3,0,0,144,0,0,0,0,3,2,None,0,Mar,2008,WD,Normal,89500
309,SC30,RL,65.5,12342,Pave,1,IR1,Lvl,AllPub,Inside,0,Edwards,Norm,Norm,1Fam,1Story,4,5,1940,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,4,4,3,1,262,6,0,599,861,GasA,0,Y,SBrkr,861,0,0,861,0,0,1,0,1,1,3,4,Typ,0,3,Detchd,1961.0,3,2,539,5,5,2,158,0,0,0,0,0,3,4,None,0,Mar,2009,WD,Normal,82500
310,SC20,RL,90.0,12378,Pave,1,IR1,Lvl,AllPub,Inside,0,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,4,PConc,0,4,1,2,1274,6,0,622,1896,GasA,0,Y,SBrkr,1944,0,0,1944,1,0,2,0,3,1,0,8,Typ,3,0,Attchd,2003.0,0,3,708,5,5,2,208,175,0,0,0,0,3,4,None,0,Nov,2006,WD,Normal,360000
311,SC60,RL,65.0,7685,Pave,1,IR1,Lvl,AllPub,Inside,0,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,BrkFace,112.0,3,4,PConc,2,4,3,0,518,6,0,179,697,GasA,2,Y,SBrkr,697,804,0,1501,0,0,2,1,3,1,2,6,Typ,1,5,Attchd,1993.0,0,2,420,5,5,2,190,63,0,0,0,0,3,4,None,0,May,2006,WD,Normal,165600
312,SC20,RL,50.0,8000,Pave,1,Reg,Lvl,AllPub,Inside,0,NAmes,Norm,Norm,1Fam,1Story,6,6,1948,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,CBlock,4,4,3,0,680,6,0,292,972,GasA,0,Y,SBrkr,972,0,0,972,1,0,1,0,2,1,3,5,Typ,1,2,Detchd,1948.0,3,1,240,5,5,2,0,0,0,0,0,0,3,4,None,0,May,2009,WD,Normal,132000
313,SC190,RM,65.0,7800,Pave,1,Reg,Lvl,AllPub,Inside,0,OldTown,Artery,Norm,2fmCon,1.5Fin,5,7,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,2,4,2,5,507,6,0,286,793,GasA,4,Y,SBrkr,793,325,0,1118,1,0,1,0,3,1,3,5,Typ,1,2,Detchd,1939.0,3,2,410,5,5,2,0,0,0,0,271,0,3,2,None,0,May,2006,WD,Normal,119900
