Id,MSSubClass,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,MasVnrArea,ExterQual,ExterCond,Foundation,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleCondition
1697,SC80,7848,Pave,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,6,1999,1999,Gable,CompShg,0.0,TA,TA,PConc,GasA,Ex,Y,SBrkr,774,656,0,1430,2,1,3,1,7,1,Y,0,0,0,0,0,0,0,Jun,2009,Normal
1698,SC60,12720,Pave,Reg,Lvl,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,150.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1466,1221,0,2687,2,1,4,1,10,2,Y,252,30,0,0,0,0,0,Sep,2009,Normal
1699,SC20,10750,Pave,IR1,Lvl,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,1Story,8,5,1994,1995,Hip,CompShg,634.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,2063,0,0,2063,2,0,3,1,7,2,Y,182,56,0,0,0,0,0,Jun,2009,Normal
1700,SC60,9085,Pave,Reg,Lvl,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,1995,1996,Gable,CompShg,286.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1094,967,0,2061,2,1,3,1,7,1,Y,296,102,209,0,0,0,0,Nov,2009,Normal
1701,SC60,11692,Pave,IR1,Lvl,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1993,1994,Gable,CompShg,372.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1215,1017,0,2232,2,1,3,1,8,1,Y,173,165,0,0,0,0,0,Oct,2009,Normal
1702,SC20,11194,Pave,IR1,Lvl,Inside,Gtl,Somerst,PosN,Norm,1Fam,1Story,8,5,2008,2008,Gable,CompShg,240.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1696,0,0,1696,2,0,3,1,7,0,Y,120,56,0,0,0,0,0,Sep,2009,Normal
1703,SC20,10206,Pave,Reg,Lvl,Inside,Gtl,Somerst,PosN,Norm,1Fam,1Story,8,5,2008,2008,Gable,CompShg,294.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1658,0,0,1658,2,1,3,1,7,1,Y,144,44,0,0,0,0,0,Sep,2009,Normal
1704,SC20,10130,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,260.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1702,0,0,1702,2,0,3,1,7,1,Y,0,69,0,0,0,0,0,Mar,2009,Normal
1705,SC20,9139,Pave,IR1,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Hip,CompShg,206.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1432,0,0,1432,2,0,3,1,7,1,Y,297,50,0,0,0,0,0,Sep,2009,Normal
1706,SC20,11128,Pave,Reg,Lvl,Corner,Gtl,Somerst,PosN,PosN,1Fam,1Story,9,5,2005,2006,Hip,CompShg,198.0,Ex,TA,PConc,GasA,Ex,Y,SBrkr,2490,0,0,2490,2,0,2,1,9,2,Y,70,226,0,0,0,0,0,Oct,2009,Normal
1707,SC20,7993,Pave,IR1,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2008,2009,Gable,CompShg,0.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1436,0,0,1436,2,0,3,1,6,0,Y,0,121,0,0,0,0,0,Oct,2009,Partial
1708,SC20,8640,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2008,2008,Hip,CompShg,0.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1402,0,0,1402,2,0,3,1,7,0,Y,205,126,0,0,0,0,0,May,2009,Normal
1709,SC20,12606,Pave,IR1,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,9,5,2007,2008,Gable,CompShg,120.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1530,0,0,1530,2,0,3,1,7,1,Y,212,136,0,0,0,0,0,May,2009,Normal
1710,SC20,7500,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2007,Gable,CompShg,238.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1448,0,0,1448,2,0,2,1,6,1,Y,0,140,0,0,0,0,0,Jun,2009,Normal
1711,SC60,10603,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2006,2006,Hip,CompShg,121.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,909,886,0,1795,2,1,3,1,8,1,Y,168,45,0,0,0,0,0,Jul,2009,Normal
1712,SC20,8125,Pave,Reg,Lvl,Corner,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2008,2009,Hip,CompShg,288.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1836,0,0,1836,2,0,3,1,8,1,Y,0,175,0,0,0,0,0,Oct,2009,Partial
1713,SC20,10625,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,0.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1662,0,0,1662,2,0,3,1,8,1,Y,168,120,0,0,0,0,0,Mar,2009,Normal
1714,SC20,8736,Pave,IR1,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2003,2004,Gable,CompShg,0.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1553,0,0,1553,2,0,3,1,6,0,Y,192,88,0,0,0,0,0,Aug,2009,Normal
1715,SC60,8127,Pave,IR1,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,0.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,812,841,0,1653,2,1,3,1,6,0,Y,0,45,0,0,0,0,0,Mar,2009,Normal
1716,SC20,9605,Pave,Reg,Lvl,Corner,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,6,2007,2007,Gable,CompShg,0.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1218,0,0,1218,1,1,3,1,6,0,Y,0,178,0,0,0,0,0,Apr,2009,Normal
1717,SC20,7500,Pave,Reg,Lvl,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,0.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1141,0,0,1141,1,1,3,1,6,0,Y,182,0,0,0,0,0,0,Jun,2009,Normal
1718,SC20,7500,Pave,Reg,Lvl,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,6,5,2004,2004,Gable,CompShg,0.0,TA,TA,PConc,GasA,Ex,Y,SBrkr,1158,0,0,1158,1,1,3,1,5,0,Y,0,50,0,0,0,0,0,Aug,2009,Normal
1719,SC60,10628,Pave,IR1,Lvl,Corner,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,0.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,871,941,0,1812,2,1,3,1,8,0,Y,146,91,0,0,0,0,0,Jan,2009,Normal
1720,SC20,10141,Pave,IR1,Lvl,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,8,5,2004,2004,Gable,Tar&Grv,264.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1512,0,0,1512,2,0,3,1,6,0,Y,210,36,0,0,0,0,0,Jan,2009,Normal
1721,SC20,13072,Pave,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,7,5,2004,2005,Gable,CompShg,0.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1114,0,0,1114,1,1,3,1,6,0,Y,248,102,0,0,0,0,0,May,2009,Normal
1722,SC20,13072,Pave,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,0.0,TA,TA,PConc,GasA,Ex,Y,SBrkr,1114,0,0,1114,1,1,3,1,6,0,Y,0,39,0,0,0,0,0,Aug,2009,Normal
1723,SC20,12450,Pave,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2003,2004,Gable,CompShg,0.0,TA,TA,PConc,GasA,Ex,Y,SBrkr,1114,0,0,1114,2,0,3,1,6,0,Y,0,42,0,0,0,0,0,Jun,2009,Normal
1724,SC20,7328,Pave,Reg,Lvl,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2008,2009,Gable,CompShg,140.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1450,0,0,1450,2,0,2,1,6,0,Y,0,93,0,0,0,0,0,Feb,2009,Partial
1725,SC60,11492,Pave,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,132.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,913,1209,0,2122,2,1,4,1,8,1,Y,0,74,0,0,0,0,0,Apr,2009,Normal
1726,SC60,7703,Pave,Reg,Lvl,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,6,1992,1992,Gable,CompShg,0.0,Gd,Gd,PConc,GasA,Ex,Y,SBrkr,833,897,0,1730,2,1,3,1,6,0,Y,0,91,0,0,168,0,0,Nov,2009,Normal
1727,SC120,7175,Pave,Reg,Lvl,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1990,1991,Gable,CompShg,0.0,Gd,TA,PConc,GasA,Gd,Y,SBrkr,1332,0,0,1332,2,0,2,1,5,0,Y,0,60,0,0,0,0,0,Feb,2009,Normal
1728,SC60,9109,Pave,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,2Story,7,5,1994,1994,Gable,CompShg,0.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,754,786,0,1540,2,1,3,1,6,0,Y,140,32,0,0,0,0,0,Oct,2009,Normal
1729,SC60,10274,Pave,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,7,1986,1986,Gable,CompShg,141.0,TA,Gd,CBlock,GasA,TA,Y,SBrkr,698,702,0,1400,2,1,3,1,6,0,Y,0,48,0,0,0,0,0,Jul,2009,Normal
1730,SC90,8250,Pave,Reg,Lvl,Inside,Gtl,SawyerW,Norm,Norm,Duplex,2Story,6,7,1981,1981,Gable,CompShg,0.0,TA,TA,Slab,GasA,TA,Y,SBrkr,964,918,0,1882,2,0,4,2,8,2,Y,0,0,0,0,0,0,0,May,2009,Normal
1731,SC20,9750,Pave,IR1,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1962,1962,Hip,CompShg,0.0,TA,TA,CBlock,GasA,Gd,Y,SBrkr,980,0,0,980,1,0,3,1,5,0,Y,0,28,0,0,0,0,0,Nov,2009,Normal
1732,SC20,8499,Pave,IR1,Lvl,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,0.0,TA,TA,CBlock,GasA,Ex,Y,SBrkr,864,0,0,864,1,0,3,1,5,0,Y,0,312,0,0,0,0,0,Jun,2009,Normal
1733,SC20,9079,Pave,IR1,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1961,1961,Gable,CompShg,0.0,TA,TA,CBlock,GasA,TA,Y,SBrkr,864,0,0,864,1,0,2,1,5,0,Y,158,0,0,0,0,0,0,Jul,2009,Normal
1734,SC20,9316,Pave,IR1,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Gable,CompShg,0.0,TA,TA,CBlock,GasA,Gd,Y,SBrkr,1020,0,0,1020,2,0,3,1,5,0,Y,171,0,0,0,0,0,0,May,2009,Family
1735,SC20,7791,Pave,IR1,Lvl,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1963,1995,Gable,CompShg,0.0,Gd,Gd,CBlock,GasA,Ex,Y,SBrkr,912,0,0,912,1,0,3,1,6,0,Y,0,0,0,0,0,0,0,Oct,2009,Normal
1736,SC20,7150,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1962,1962,Gable,CompShg,60.0,TA,TA,CBlock,GasA,Gd,Y,SBrkr,912,0,0,912,1,0,3,1,6,0,Y,0,0,0,0,0,0,0,Oct,2009,Normal
1737,SC20,15676,Pave,IR1,Low,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,8,8,1980,1980,Gable,CompShg,115.0,Gd,Gd,CBlock,GasA,Gd,Y,SBrkr,2014,0,0,2014,2,0,2,1,6,2,Y,462,0,0,255,0,0,0,Apr,2009,Normal
1738,SC60,11949,Pave,Reg,Lvl,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,8,1991,2008,Gable,CompShg,196.0,Gd,Gd,PConc,GasA,Ex,Y,SBrkr,975,780,0,1755,2,1,3,1,7,1,Y,502,60,0,0,0,0,0,Jul,2009,Normal
1739,SC160,2880,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5,2004,2005,Gable,CompShg,0.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1376,1629,0,3005,2,1,3,1,9,1,Y,0,177,0,0,0,0,0,Jul,2009,Normal
1740,SC120,3830,Pave,IR1,Lvl,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,6,5,2008,2008,Gable,CompShg,280.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1726,0,0,1726,2,1,2,1,6,1,Y,0,254,0,0,0,0,0,Jan,2009,Partial
1741,SC120,4217,Pave,IR1,Lvl,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,6,5,2008,2008,Gable,CompShg,252.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1256,0,0,1256,1,1,1,1,5,1,Y,0,169,0,0,0,0,0,Mar,2009,Normal
1742,SC160,2998,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,513.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,756,756,0,1512,2,1,2,1,4,0,Y,0,32,0,0,0,0,0,Aug,2009,Normal
1743,SC160,3768,Pave,Reg,Lvl,FR2,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,1999,1999,Hip,CompShg,218.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,713,739,0,1452,2,1,3,1,6,0,Y,0,34,0,0,0,0,0,Sep,2009,Normal
1744,SC20,14694,Pave,IR1,Lvl,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,8,9,1977,2008,Gable,CompShg,450.0,Ex,Ex,CBlock,GasA,Ex,Y,SBrkr,1694,0,0,1694,2,0,2,1,5,1,Y,501,120,0,225,0,0,0,Jun,2009,Normal
1745,SC20,15417,Pave,Reg,Lvl,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,7,5,1981,1981,Gable,CompShg,0.0,Gd,TA,CBlock,GasA,TA,Y,SBrkr,1740,0,0,1740,1,1,2,1,7,0,Y,228,20,218,0,0,0,0,Jun,2009,Normal
1746,SC80,9600,Pave,Reg,Low,FR2,Mod,Veenker,Feedr,Norm,1Fam,SLvl,8,5,1976,1976,Gable,CompShg,200.0,Gd,Gd,CBlock,GasA,Ex,Y,SBrkr,1487,1012,0,2499,2,1,4,1,5,1,Y,0,64,0,0,0,0,0,Jan,2009,Abnorml
1747,SC60,12732,Pave,IR1,Lvl,CulDSac,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1974,1974,Gable,CompShg,0.0,TA,TA,CBlock,GasA,TA,Y,SBrkr,1285,782,0,2067,2,1,3,1,7,2,Y,297,40,0,0,0,0,0,Jun,2009,Normal
1748,SC60,10400,Pave,Reg,Lvl,Inside,Gtl,NWAmes,PosA,Norm,1Fam,2Story,6,7,1967,1997,Gable,CompShg,256.0,TA,TA,PConc,GasA,Gd,Y,SBrkr,1271,1369,0,2640,2,1,5,1,8,1,Y,0,120,0,0,168,0,0,May,2009,Normal
1749,SC20,9600,Pave,Reg,Lvl,Inside,Gtl,NWAmes,Feedr,Norm,1Fam,1Story,5,5,1969,1969,Gable,CompShg,128.0,TA,TA,CBlock,GasA,TA,Y,SBrkr,1336,0,0,1336,2,0,3,1,6,1,Y,312,11,0,0,0,0,650,Aug,2009,Normal
1750,SC20,9000,Pave,Reg,Lvl,Inside,Gtl,NWAmes,Feedr,Norm,1Fam,1Story,6,5,1969,1969,Gable,CompShg,200.0,TA,TA,CBlock,GasA,TA,Y,SBrkr,1216,0,0,1216,1,0,3,1,5,0,Y,0,0,0,0,0,0,0,Aug,2009,Abnorml
1751,SC60,13774,Pave,IR1,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,7,1977,1992,Hip,CompShg,283.0,TA,Gd,PConc,GasA,Ex,Y,SBrkr,1316,972,0,2288,1,2,4,1,8,2,Y,321,72,0,0,156,0,0,Nov,2009,Normal
1752,SC20,7130,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1967,1967,Gable,CompShg,0.0,TA,TA,PConc,GasA,TA,Y,SBrkr,864,0,0,864,1,0,2,1,5,0,Y,0,0,0,0,0,0,0,Jun,2009,Normal
1753,SC20,9600,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1967,1967,Hip,CompShg,0.0,TA,TA,CBlock,GasA,TA,Y,SBrkr,1568,0,0,1568,1,1,3,1,7,0,Y,160,40,0,0,0,0,0,Mar,2009,Normal
1754,SC60,9600,Pave,Reg,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,5,1974,1974,Gable,CompShg,252.0,TA,TA,CBlock,GasA,Gd,Y,SBrkr,1165,896,0,2061,2,1,4,1,8,1,Y,0,77,0,0,196,0,0,May,2009,Abnorml
1755,SC85,16500,Pave,Reg,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,6,5,1971,1971,Hip,CompShg,509.0,TA,TA,CBlock,GasA,Fa,Y,SBrkr,1320,0,0,1320,2,0,3,1,5,1,Y,0,20,0,0,0,0,0,May,2009,Normal
1756,SC20,7436,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,7,1960,1960,Gable,CompShg,0.0,TA,TA,CBlock,GasA,Gd,Y,SBrkr,894,0,0,894,1,0,2,1,5,1,Y,0,0,0,360,0,0,0,Aug,2009,Normal
1757,SC20,8125,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1959,1959,Hip,CompShg,0.0,TA,TA,CBlock,GasA,Ex,Y,SBrkr,864,0,0,864,1,0,3,1,5,0,Y,0,0,0,0,0,0,0,Sep,2009,Normal
1758,SC20,9450,Pave,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1957,1957,Gable,CompShg,160.0,TA,TA,CBlock,GasA,TA,Y,SBrkr,1362,0,0,1362,1,0,3,1,6,1,Y,0,0,84,0,0,0,0,May,2009,Normal
1759,SC20,13495,Pave,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1956,1956,Gable,CompShg,70.0,TA,Gd,CBlock,GasA,Fa,Y,SBrkr,1728,0,0,1728,2,0,3,1,7,1,Y,0,99,0,0,0,0,0,Jul,2009,Normal
1760,SC20,9350,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1961,1995,Gable,CompShg,217.0,TA,TA,CBlock,GasA,TA,Y,SBrkr,1313,0,0,1313,1,1,3,1,6,1,Y,172,28,0,0,121,0,0,Feb,2009,Normal
1761,SC20,10500,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1964,1964,Gable,CompShg,144.0,TA,Gd,CBlock,GasA,TA,Y,SBrkr,1292,0,0,1292,1,1,3,1,6,2,Y,0,32,0,0,92,0,0,Jul,2009,Abnorml
1762,SC60,8970,Pave,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,2Story,5,6,1965,1965,Gable,CompShg,0.0,TA,Gd,CBlock,GasA,TA,Y,SBrkr,825,1315,0,2140,2,1,4,1,7,1,Y,0,40,264,0,0,0,0,Jun,2009,Normal
1763,SC80,11475,Pave,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,SLvl,6,6,1961,1961,Hip,CompShg,90.0,TA,TA,CBlock,GasA,Ex,Y,SBrkr,1576,0,0,1576,1,0,4,1,7,1,Y,85,0,0,0,0,0,0,Sep,2009,Normal
1764,SC20,9768,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1955,1955,Gable,CompShg,0.0,TA,TA,CBlock,GasA,Gd,Y,SBrkr,960,0,0,960,1,0,2,1,5,0,Y,0,70,0,0,0,0,0,Feb,2009,Normal
1765,SC20,9900,Pave,Reg,Lvl,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,6,5,1967,1967,Gable,CompShg,0.0,Gd,TA,CBlock,GasA,TA,Y,SBrkr,1691,0,0,1691,1,0,2,1,5,0,Y,0,67,260,0,0,0,0,Apr,2009,Normal
1766,SC20,10573,Pave,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,3.0,TA,TA,CBlock,GasA,Ex,Y,SBrkr,1453,0,0,1453,2,0,3,1,6,1,Y,0,49,0,0,288,0,0,Apr,2009,Normal
1767,SC20,14695,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,8,1966,2008,Gable,CompShg,210.0,TA,Gd,CBlock,GasA,Gd,Y,SBrkr,1567,0,0,1567,2,0,2,1,5,2,Y,0,110,0,0,342,0,0,Jul,2009,Normal
1768,SC20,8760,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1956,1956,Gable,CompShg,164.0,Gd,TA,CBlock,GasA,TA,Y,SBrkr,1144,0,0,1144,1,0,3,1,6,0,Y,257,0,0,0,0,0,0,Jun,2009,Normal
1769,SC20,12285,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,6,1960,1960,Gable,CompShg,128.0,TA,TA,CBlock,GasA,Gd,Y,SBrkr,1329,0,0,1329,1,1,3,1,5,2,Y,0,0,203,0,0,0,0,Aug,2009,Normal
1770,SC20,9240,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,8,1959,1998,Hip,CompShg,0.0,Gd,TA,CBlock,GasA,TA,Y,SBrkr,988,0,0,988,2,0,3,1,6,0,Y,156,0,0,0,0,0,0,Jun,2009,Normal
1771,SC20,8750,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1956,1956,Gable,CompShg,0.0,TA,TA,CBlock,GasA,TA,Y,SBrkr,1202,0,0,1202,1,0,3,1,6,0,Y,0,35,120,0,0,0,0,Nov,2009,Abnorml
1772,SC20,8750,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1955,1955,Gable,CompShg,0.0,TA,TA,CBlock,GasA,Gd,Y,FuseA,1382,0,0,1382,1,0,3,1,6,0,Y,280,0,0,0,0,0,0,Jul,2009,Normal
1773,SC20,10400,Pave,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1956,1956,Gable,CompShg,0.0,TA,TA,CBlock,GasA,TA,Y,SBrkr,1200,0,0,1200,1,0,3,1,6,2,Y,0,189,140,0,0,0,0,Nov,2009,Family
1774,SC90,9482,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,5,4,1958,1958,Hip,CompShg,657.0,TA,TA,PConc,GasA,Ex,Y,SBrkr,1866,0,0,1866,2,0,4,2,8,0,Y,0,0,0,0,0,0,0,Dec,2009,Normal
1775,SC20,8128,Pave,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1954,1954,Hip,CompShg,80.0,TA,TA,CBlock,GasA,Gd,Y,SBrkr,1062,0,0,1062,1,0,3,1,6,0,Y,0,0,0,0,0,0,0,Feb,2009,Normal
1776,SC20,13070,Pave,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1951,1951,Hip,CompShg,0.0,TA,TA,CBlock,GasA,TA,Y,FuseA,1112,0,0,1112,1,0,2,1,5,0,Y,0,0,0,0,255,0,0,Oct,2009,Normal
1777,SC30,8480,Pave,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1945,1950,Gable,CompShg,0.0,TA,Gd,CBlock,GasA,TA,Y,SBrkr,793,0,0,793,1,0,2,1,4,0,Y,0,0,0,0,0,0,0,Aug,2009,Normal
1778,SC20,7626,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,8,1952,2005,Hip,CompShg,0.0,Gd,TA,CBlock,GasA,Gd,Y,SBrkr,1031,0,0,1031,1,0,2,1,5,0,Y,0,0,0,0,0,0,0,Mar,2009,Normal
1779,SC20,9533,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1953,1953,Hip,CompShg,140.0,TA,TA,Slab,GasA,TA,Y,FuseA,1210,0,0,1210,1,1,2,1,7,0,Y,208,0,100,0,0,0,0,Aug,2009,Normal
1780,SC60,11419,Pave,Reg,Lvl,Corner,Gtl,NAmes,Artery,Norm,1Fam,2Story,7,7,1948,1999,Gable,CompShg,0.0,TA,TA,CBlock,GasA,Ex,Y,FuseA,801,726,0,1527,1,1,3,1,6,1,Y,0,0,134,0,0,0,0,Dec,2009,Normal
1781,SC20,9600,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1950,1950,Gable,CompShg,0.0,TA,TA,CBlock,GasA,TA,Y,SBrkr,1200,0,0,1200,1,0,3,1,6,0,Y,126,0,0,0,0,0,0,Aug,2009,Normal
1782,SC20,5470,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,3,5,1958,1958,Gable,CompShg,0.0,TA,TA,CBlock,GasA,Gd,Y,FuseA,792,0,0,792,1,0,2,1,4,0,Y,0,90,0,0,0,0,0,Aug,2009,Normal
1783,SC60,10800,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,7,1939,2006,Gable,CompShg,0.0,TA,Gd,BrkTil,GasA,Ex,Y,SBrkr,676,676,0,1352,2,0,4,1,7,0,Y,187,0,128,0,0,0,0,Aug,2009,Normal
1784,SC70,8146,Pave,Reg,Lvl,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,8,1900,2003,Gable,CompShg,0.0,Gd,Gd,BrkTil,GasA,Gd,Y,SBrkr,717,322,0,1039,1,0,2,1,6,0,N,0,0,168,0,111,0,0,May,2009,Normal
